순위,키워드,분류,기회점수,수요점수,경쟁낮음점수,AI점수,경쟁난이도%,상태,관심도,상승률%,최고대비%,빈구간비율,계절성%,뜨는달,최근30일%,장악%,전체문서수,AI인용적합,처방
31,아이폰 폴더블,루머,40.1,22.7,17.4,0.0,42.0,급상승,19.132,200.8,121.4,0.0,197.2,7월·8월,20.0,40.0,115735,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
32,갤럭시 저장공간 정리,저장공간,38.1,0.0,8.1,30.0,73.0,하락,0.0,-100.0,0.0,0.417,261.4,4월·7월,47.5,97.5,115328,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
33,포노앰프,음악,34.1,0.5,18.5,15.0,38.2,유지,0.04,-4.0,51.0,0.0,34.0,1월·3월,15.0,45.0,20094,중간,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
34,갤럭시 S27,루머,33.8,14.7,19.1,0.0,36.3,유지,10.622,16.2,116.6,0.0,138.4,7월·8월,22.5,32.5,6640,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
35,아이폰 18 출시일,루머,32.3,18.3,14.0,0.0,53.4,유지,16.39,-9.2,98.9,0.0,79.2,7월·8월,40.0,45.0,93598,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
36,블루투스 스피커,구매검토,30.2,13.6,16.6,0.0,44.8,상승,6.897,20.6,57.3,0.0,68.2,1월·2월,0.0,82.5,1121143,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
37,FLAC 차이,음질,26.7,0.0,23.4,30.0,21.9,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,0.0,20.0,9260,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
38,LP 바늘 교체 시기,LP관리,26.6,0.0,23.2,30.0,22.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,2.5,37.5,373,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
39,하이레스 오디오란,음질,26.5,0.0,22.9,30.0,23.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,15.0,15.0,785,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
40,에어팟 배터리 빨리 닳음,AI인용,26.4,0.0,22.7,30.0,24.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,10.0,5750,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
41,LP 튀는 이유,LP문제해결,26.4,0.0,22.7,30.0,24.3,관심 미미,0.0,0.0,0.0,0.889,319.3,1월·3월,17.5,0.0,7571,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
42,LP 휘었을 때,문제해결,26.3,0.0,22.5,30.0,24.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,5.0,2159,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
43,포노앰프 필요한 이유,AI인용,26.1,0.0,22.2,30.0,25.9,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,7.5,30.0,1893,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
44,LP 지지직 소리,문제해결,26.1,0.0,22.3,30.0,25.8,관심 미미,0.002,999.0,34.2,0.806,284.3,1월·3월,17.5,12.5,2087,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
45,LC3 코덱,코덱,26.1,0.0,22.1,30.0,26.2,관심 미미,0.0,0.0,0.0,0.694,94.3,2월·5월,7.5,30.0,2358,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
46,SBC 코덱,코덱,26.0,0.0,21.9,30.0,26.9,관심 미미,0.0,-100.0,0.0,0.528,184.3,2월·3월,11.4,14.3,17147,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
47,LDAC 이란,코덱,25.8,0.0,21.5,30.0,28.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,30.8,15.4,116,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
48,aptX 차이,코덱,25.8,0.0,21.6,30.0,27.9,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,12.5,6999,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
49,블루투스 코덱 종류,코덱,25.8,0.0,21.6,30.0,28.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,23.1,5.1,5842,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
50,이어폰 번인이란,AI인용,25.7,0.0,21.4,30.0,28.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,10.0,32.5,3093,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
51,턴테이블 소리 작을 때,문제해결,25.7,0.0,21.4,30.0,28.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,10.0,20.0,25844,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
52,하울링 원인,문제해결,25.7,0.0,21.3,30.0,29.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,15.0,8467,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
53,로그 촬영이란,설정,25.7,0.0,21.4,30.0,28.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.6,0.0,700006,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
54,턴테이블 원리,AI인용,25.6,0.0,21.3,30.0,29.1,관심 미미,0.0,0.0,0.0,0.944,700.0,1월·2월,22.5,10.0,5028,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
55,블루투스 연결 안될 때,문제해결,25.6,0.0,21.2,30.0,29.4,관심 미미,0.0,-100.0,0.0,0.722,155.2,1월·5월,18.8,0.0,149246,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
56,게이밍 헤드셋,구매검토,25.6,7.1,18.5,0.0,38.2,유지,2.468,-4.5,95.3,0.0,16.4,1월·8월,12.5,40.0,135088,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
57,LP 잡음 원인,AI인용,25.5,0.0,21.0,30.0,30.0,관심 미미,0.0,0.0,0.0,0.889,242.9,1월·3월,15.0,35.0,1001,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
58,턴테이블 바늘 청소,관리,25.5,0.0,21.1,30.0,29.8,관심 미미,0.0,0.0,0.0,0.972,700.0,1월·7월,10.0,40.0,1568,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
59,이어폰 볼륨 작을 때,문제해결,25.4,0.0,20.8,30.0,30.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,7.5,85777,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
60,블루투스 코덱 설정,코덱,25.4,0.0,20.9,30.0,30.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,22.5,21847,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
61,이어폰 적정 볼륨,건강,25.3,0.0,20.7,30.0,31.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,25.0,5009,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
62,바이닐 무게 차이,바이닐,25.3,0.0,20.6,30.0,31.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,32.5,793,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
63,크롭바디 풀프레임 차이,기초,25.2,0.0,20.5,30.0,31.8,관심 미미,0.0,0.0,0.0,0.972,700.0,1월·2월,15.0,27.5,10223,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
64,이어팁 사이즈 고르는 법,문제해결,25.1,0.0,20.3,30.0,32.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,17.5,9824,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
65,이퀄라이저 설정 방법,음질,25.1,0.0,20.3,30.0,32.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,31.2,16308,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
66,난청 예방,건강,25.1,0.0,20.2,30.0,32.6,관심 미미,0.0,0.0,0.0,0.917,450.3,2월·7월,15.8,15.8,164165,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
67,바이닐 음질 좋은 이유,AI인용,25.0,0.0,20.0,30.0,33.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,47.5,1477,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
68,이어폰 소독 방법,문제해결,25.0,0.0,20.0,30.0,33.4,관심 미미,0.0,0.0,0.0,0.972,700.0,1월·4월,10.0,40.0,12927,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
69,이어폰 수명,문제해결,25.0,0.0,20.0,30.0,33.5,관심 미미,0.0,0.0,0.0,0.944,336.4,1월·5월,15.0,20.0,110264,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
70,OLED LCD 차이,AI인용,24.9,0.0,19.7,30.0,34.3,관심 미미,0.0,0.0,0.0,0.806,538.6,1월·2월,26.3,10.5,31073,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
71,aptX 어댑티브,코덱,24.9,0.0,19.9,30.0,33.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,10.0,55.0,1107,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
72,주파수 응답 그래프 보는 법,음질,24.9,0.0,19.8,30.0,34.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,40.0,2077,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
73,침압 조절 방법,관리,24.9,0.0,19.9,30.0,33.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,45.0,352,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
74,데이터 무제한 속도 제한,연결,24.9,0.0,19.8,30.0,34.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,25.0,5.0,376945,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
75,LP 33 45 차이,바이닐,24.9,0.0,19.8,30.0,34.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,5.0,60.0,2380,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
76,멀티포인트 뜻,AI인용,24.8,0.0,19.6,30.0,34.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,32.5,48754,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
77,배터리 교체 시기,배터리,24.8,0.0,19.5,30.0,34.9,관심 미미,0.0,-100.0,0.0,0.583,502.1,1월·2월,22.9,11.4,311493,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
78,단렌즈 줌렌즈 차이,렌즈,24.8,0.0,19.6,30.0,34.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,27.5,12820,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
79,LP 리마스터란,바이닐,24.8,0.0,19.6,30.0,34.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,40.0,2964,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
80,램 용량 차이,성능,24.7,0.0,19.4,30.0,35.3,관심 미미,0.0,-100.0,0.0,0.861,319.2,1월·2월,10.0,35.0,88161,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
81,LP 카트리지 종류,바이닐,24.7,0.0,19.4,30.0,35.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,27.5,30.0,1495,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
82,드라이버 유닛 종류,음질,24.6,0.0,19.2,30.0,36.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,25.0,25.0,9810,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
83,음질 좋은 음원,음질,24.6,0.0,19.1,30.0,36.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,18.4,23.7,109418,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
84,화이트밸런스 설정,카메라,24.6,0.0,19.2,30.0,36.1,관심 미미,0.0,0.0,0.0,0.861,238.8,3월·7월,30.8,5.1,63133,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
85,LP 보관 방법,LP관리,24.6,0.0,19.1,30.0,36.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,5.0,50.0,48498,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
86,DAC 필요한 이유,AI인용,24.5,0.0,19.0,30.0,36.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,2.5,62.5,14951,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
87,프레임레이트 차이,설정,24.5,0.0,19.0,30.0,36.8,관심 미미,0.0,0.0,0.0,0.75,349.5,3월·5월,17.5,37.5,15417,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
88,주사율 차이,AI인용,24.4,0.0,18.8,30.0,37.5,관심 미미,0.0,0.0,0.0,0.722,444.6,1월·2월,20.0,25.0,253483,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
89,비트레이트 차이,음질,24.4,0.0,18.9,30.0,37.1,관심 미미,0.0,0.0,0.0,0.972,700.0,1월·3월,27.5,22.5,14165,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
90,이어폰 감도 뜻,음질,24.4,0.0,18.8,30.0,37.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,25.0,37.5,2519,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
91,블루투스 페어링 방법,연결,24.4,0.0,18.7,30.0,37.6,관심 미미,0.0,-100.0,0.0,0.833,376.7,2월·3월,35.3,0.0,116475,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
92,LP 세척 방법,LP관리,24.4,0.0,18.8,30.0,37.2,관심 미미,0.0,0.0,0.0,0.861,208.0,1월·3월,15.0,52.5,3141,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
93,아이폰 배터리 성능 저하,배터리,24.3,0.0,18.6,30.0,37.8,관심 미미,0.0,0.0,0.0,0.694,124.6,1월·2월,17.5,35.0,44606,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
94,핫스팟 사용법,연결,24.2,0.0,18.5,30.0,38.3,관심 미미,0.002,33.3,30.6,0.556,138.7,2월·4월,5.0,55.0,68610,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
95,헤드폰 추천,구매검토,24.2,6.1,18.1,0.0,39.8,급상승,1.374,191.5,123.9,0.0,27.8,6월·7월,5.0,57.5,292618,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
96,블루투스 버전 차이,원리,24.1,0.0,18.3,30.0,39.2,관심 미미,0.002,999.0,58.1,0.778,186.0,4월·6월,10.0,50.0,61659,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
97,카메라 보관 방법,관리,24.1,0.0,18.1,30.0,39.5,관심 미미,0.0,0.0,0.0,0.917,433.6,3월·4월,30.0,15.0,312974,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
98,카메라 센서 청소,관리,24.1,0.0,18.2,30.0,39.4,관심 미미,0.0,-100.0,0.0,0.667,163.5,2월·6월,5.0,57.5,80810,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
99,이어폰 지연 시간 줄이기,문제해결,24.0,0.0,18.1,30.0,39.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,2.5,72.5,14757,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
100,화각 차이,기초,23.9,0.0,17.8,30.0,40.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,32.5,76586,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
101,블루라이트 눈 피로,건강,23.9,0.0,17.7,30.0,41.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,0.0,70.0,320422,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
102,블루투스 이어폰 끊김 원인,문제해결,23.8,0.0,17.5,30.0,41.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,52.5,4427,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
